   #Frame      Binding( with DH ) |    MM    ( with DH )    PB        SA     |   COU    ( with DH )     VDW   |       PBcom        PBpro        PBlig  |    SAcom     SApro     SAlig
_pid~40ns     4397.668(  475.287) |  4863.251(  940.869)  -452.735   -12.847 |  4976.983( 1054.601)  -113.732 |    -7562.313    -5748.221    -1361.358 |   175.792   171.583    17.057
_pid~41ns     4350.021(  413.584) |  4931.373(  994.937)  -569.127   -12.225 |  5032.089( 1095.652)  -100.715 |    -7816.329    -5892.440    -1354.762 |   174.136   168.954    17.407
